"operator","enbId_rncId","cellId","frequency","trueServingCoverageArea_latitude","trueServingCoverageArea_longitude","normalizedServingCoverageArea_latitude","normalizedServingCoverageArea_longitude","fullActivityCoverage_latitude","fullActivityCoverage_longitude","bts_latitude","bts_longitude","altitude_altitude","Neighbor_Cell_0_latitude","Neighbor_Cell_0_longitude","Neighbor_Cell_1_latitude","Neighbor_Cell_1_longitude","Neighbor_Cell_2_latitude","Neighbor_Cell_2_longitude","ID"
"MegaCom Ltd",8421,11,"6400",52.3956260681,4.90013170242,52.3956260681,4.90013170242,52.3930435181,4.90260267258,"52.3912506104","4.90421867371","54","52.3937416077","4.90220689774","52.3934211731","4.9035987854","52.3917388916","4.90227031708",80
"MegaCom Ltd",6791,32,"1300",52.3162498474,4.93976545334,52.3162498474,4.93976545334,52.3165626526,4.9399805069,"NULL","NULL","60","52.3175010681","4.93961906433","52.3162002563","4.94088363647","52.3170394897","4.94078636169",81
"MegaCom Ltd",30951,31,"1300",52.2999992371,4.98877906799,52.2999992371,4.98877906799,52.2990760803,4.98523426056,"52.2956237793","4.97857904434","47","52.2791938782","5.02025413513","52.3085403442","5.00902366638","52.2989044189","5.00855970383",82
"MegaCom Ltd",62591,13,"6400",52.3006248474,4.93690919876,52.3006248474,4.93690919876,52.2989006042,4.93847179413,"52.2975006104","4.94302749634","42","52.3142051697","4.89207029343","52.3010559082","4.93224143982","52.3093910217","4.91321754456",83
"MegaCom Ltd",24281,13,"6400",52.4150009155,4.89084005356,52.4150009155,4.89084005356,52.4155158997,4.8913230896,"52.4150009155","4.89084005356","41","52.4110984802","4.88821792603","52.4176177979","4.89362812042","52.4174461365","4.89202165604",84
"MegaCom Ltd",40191,11,"6400",52.3631248474,4.91077136993,52.3631248474,4.91077136993,52.3629379272,4.90983390808,"52.3624992371","4.90770530701","71","52.363571167","4.91394996643","52.3628997803","4.91193342209","52.3641853333","4.9103808403",85
"MegaCom Ltd",6681,31,"1300",52.3143768311,4.94169902802,52.3143768311,4.94169902802,52.3142280579,4.94109869003,"52.3143768311","4.94169902802","NULL","52.3148880005","4.94064950943","52.3142127991","4.9440331459","NULL","NULL",86
"MegaCom Ltd",17851,12,"6400",52.4056243896,4.87368154526,52.4056243896,4.87368154526,52.407371521,4.87012672424,"52.4093742371","4.87572288513","61","52.4072723389","4.87381362915","52.4074363708","4.87169456482","52.4085464478","4.86791038513",87
"MegaCom Ltd",39891,31,"1300",52.3424987793,4.86712884903,52.3424987793,4.86712884903,52.3421859741,4.86762714386,"52.3431243896","4.86712884903","55","52.3425521851","4.86677742004","52.3433799744","4.86432123184","52.3415641785","4.86751937866",88
"MegaCom Ltd",58081,12,"6400",52.3543739319,4.85779762268,52.3543739319,4.85779762268,52.3544387817,4.85682106018,"NULL","NULL","45","52.3539047241","4.85810041428","52.3515052795","4.85664558411","52.3549423218","4.855717659",89
"MegaCom Ltd",60311,11,"6400",52.3456268311,4.84818840027,52.3456268311,4.84818840027,52.3458709717,4.84464836121,"52.3456268311","4.84308576584","51","52.3457183838","4.84354496002","52.344039917","4.84724617004","52.3452262878","4.84388685226",90
"MegaCom Ltd",16981,31,"1300",52.3156242371,4.97678232193,52.3156242371,4.97678232193,52.314994812,4.97595691681,"52.3143768311","4.97372055054","46","52.316493988","4.98021507263","52.3166503906","4.97622060776","52.3186416626","4.98299312592",91
"MegaCom Ltd",30241,32,"1300",52.3443756104,4.92047834396,52.3443756104,4.92047834396,52.3454971313,4.91949701309,"52.3443756104","4.92047834396","52","52.3451309204","4.92364740372","52.3460006714","4.92115211487","52.3460159302","4.92029762268",92
"MegaCom Ltd",30241,31,"1300",52.3499984741,4.92891120911,52.3499984741,4.92891120911,52.3487701416,4.92449235916,"52.3481254578","4.92278337479","44","52.3487892151","4.92249011993","52.3441734314","4.94704580307","52.333946228","4.99851560593",93
"MegaCom Ltd",35491,32,"1300",52.3737487793,4.89247083664,52.3737487793,4.89247083664,52.3737792969,4.89145040512,"NULL","NULL","59","52.3726081848","4.89052724838","52.3730430603","4.89046859741","52.3736190796","4.89158201218",94
"MegaCom Ltd",19191,12,"6400",52.3087501526,4.80051755905,52.3087501526,4.80051755905,52.3080329895,4.80815410614,"52.3106231689","4.80867671967","49","52.3109817505","4.80081033707","52.3136138916","4.80720233917","52.3090820312","4.78245592117",95
"MegaCom Ltd",1061,32,"1300",52.4174995422,4.93177747726,52.4174995422,4.93177747726,52.4168586731,4.92288589478,"52.4243736267","4.91234874725","47","52.4188270569","4.9184422493","52.4119644165","4.93300294876","52.4104232788","4.93100118637",96
"MegaCom Ltd",36551,11,"6400",52.3624992371,4.94337892532,52.3624992371,4.94337892532,52.362739563,4.94313955307,"NULL","NULL","54","52.3622817993","4.94248533249","52.3645172119","4.94828128815","52.3604354858","4.94627952576",97
"MegaCom Ltd",77051,11,"6400",52.3737487793,4.90101051331,52.3737487793,4.90101051331,52.3713684082,4.89912128448,"NULL","NULL","65","52.3704452515","4.89832496643","52.3705596924","4.89833498001","52.3724479675","4.89789056778",98
"MegaCom Ltd",16161,32,"1300",52.3993759155,4.85770511627,52.3993759155,4.85770511627,52.3985290527,4.85815906525,"52.4012489319","4.86077165604","47","52.3964309692","4.85933113098","52.397480011","4.85494613647","52.396068573","4.86019039154",99
